id,Avg_Wind_Speed,Precipitation_Amount,Max_Temperature,Min_Temperature,Humidity,Transmission_mode,Duration
1,13.67,0.2,9.5,3.7,82.00274423,Waterborne,11
2,11.5,5.1,7.2,4.2,80.31964408,Seed-borne,12
3,11.25,0.4,5.5,0.5,82.3207629,Soil-borne,12
4,8.63,0.2,5.6,0.4,80.15836264,Insect-borne,10
5,11.92,10.4,7.2,-1.5,81.60487287,Waterborne,12
6,10.67,0,6.5,1.2,83.37011772,Insect-borne,15
7,9.17,1.9,9.2,-2.4,82.63941394,Seed-borne,12
8,14.29,0,6.6,3.1,82.89408619,Insect-borne,11
9,8.04,8.3,6.8,2.4,83.5352163,Insect-borne,10
10,11.42,0,6.5,3,83.03322691,Waterborne,11
11,7.54,0.5,10,-3.1,81.41753846,Insect-borne,10
12,15.54,6,12.2,-3.3,81.45061596,Waterborne,10
13,4.63,0,13.1,5.5,80.88684822,Soil-borne,11
14,3.08,0,5.6,-3.2,82.05687182,Insect-borne,12
15,2.5,0,4.4,-5,80.66385045,Seed-borne,9
16,9.25,0,4.6,-4.2,80.30025587,Soil-borne,9
17,13.42,2,9.3,3.2,82.7883708,Seed-borne,10
18,17.83,8.4,10.1,4.3,80.41817957,Soil-borne,11
19,3.71,0.9,6.6,1.6,80.1923008,Waterborne,7
20,3.17,21.5,9.3,-0.6,83.58760316,Insect-borne,10
21,8.04,0.2,10.1,1.6,80.47476396,Soil-borne,11
22,9.38,0.3,6.5,5.5,83.11713476,Waterborne,10
23,13.7,0,6.5,5.5,80.97384195,Seed-borne,7
24,20.38,9.5,5.3,3.4,82.67839517,Seed-borne,8
25,9.25,0,4.3,2.2,81.33265073,Seed-borne,11
26,14.33,0.7,13,2.2,80.52389148,Seed-borne,7
27,16.79,1.5,12.3,3.7,84.04403589,Seed-borne,9
28,12.25,2.8,12,4.8,80.54498576,Waterborne,10
29,22,6.2,12.6,4.4,84.49774397,Seed-borne,10
30,14.5,1.4,7.8,3.7,80.64416466,Seed-borne,10
31,14.88,4.7,7.2,2.1,84.94375962,Insect-borne,10
32,10.17,2.1,8.7,1,80.33127223,Seed-borne,12
33,10.88,0.1,8.1,1,82.73685569,Insect-borne,7
34,8.5,4,8.1,-0.6,81.63895217,Soil-borne,10
35,12.54,5.7,11.3,0,83.88266234,Soil-borne,7
36,13.96,8.6,13.5,4.7,82.1480873,Insect-borne,12
37,19.17,0.5,7.8,2.1,81.17734011,Airborne,12
38,14.21,0.3,11.6,3.2,83.15250801,Insect-borne,11
39,16.5,4.4,14.6,4.4,82.95221726,Insect-borne,11
40,14.37,0.3,11.7,6.4,83.7287574,Soil-borne,11
41,11.08,0.8,10.7,7.3,82.06719137,Soil-borne,11
42,17.5,3.5,11.3,7.3,83.52842314,Waterborne,10
43,11.71,0,15.5,7.1,80.14509262,Seed-borne,10
44,16.08,0,12.7,8.8,84.81360127,Insect-borne,10
45,15.46,0,13.3,10,82.36698992,Soil-borne,10
46,5.17,0,13.8,2.5,80.52586088,Insect-borne,9
47,3.42,0,12.1,2.5,84.47963372,Seed-borne,11
48,6.17,0,11.7,4.4,84.59201843,Seed-borne,11
49,10.88,0,13.3,6,80.70960551,Soil-borne,13
50,9.62,0,14.5,8.2,80.41363018,Soil-borne,10
51,7.25,0,13.1,5.3,83.06310136,Soil-borne,9
52,3.75,0,8.6,4.7,80.3477562,Seed-borne,9
53,8.25,0,7.5,5.1,82.22572988,Insect-borne,12
54,16.38,4.6,8.8,5.1,81.89918197,Insect-borne,10
55,8.17,0.7,11,6.1,83.83625819,Waterborne,10
56,13.08,3.2,9.8,2.7,84.79352417,Airborne,10
57,21.17,2.1,14.5,5.2,83.47021081,Seed-borne,7
58,12.75,3.1,10.1,4.8,82.45432595,Seed-borne,11
59,14.75,1,10.6,3.8,82.1235421,Insect-borne,11
60,10.25,0.7,12.7,8.1,80.2389895,Insect-borne,10
61,10.88,0,12.2,7.2,82.20802629,Seed-borne,10
62,11.29,0,12.2,3,83.51827127,Soil-borne,12
63,6.21,0,11.8,2.8,83.77345559,Seed-borne,7
64,5.5,0,17.2,0,80.72886384,Waterborne,10
65,2.83,0,14.4,4.3,83.29114712,Insect-borne,10
66,3.63,0,14.7,6,82.74835604,Waterborne,13
67,1.71,0,15.1,4.4,80.33502926,Waterborne,7
68,3.75,0,14.2,6.1,82.11124033,Soil-borne,11
69,8.79,0,11.8,6.7,80.28597873,Soil-borne,7
70,10.34,0,14.6,5.7,80.56887849,Waterborne,12
71,17.12,0.1,13.4,4.8,83.891805,Soil-borne,10
72,13.96,0,15.5,10.5,82.1706881,Insect-borne,12
73,8.12,0,15.5,9.5,82.84022551,Soil-borne,7
74,11.54,0,16.2,7.1,83.00320459,Waterborne,12
75,2.75,0,18.8,2.2,84.56919326,Seed-borne,10
76,13,0,9.7,2.1,81.85872947,Waterborne,10
77,13.17,0.5,10.2,2.8,81.78596776,Insect-borne,7
78,7.75,0,9.6,3.3,81.97927117,Soil-borne,11
79,15.41,0,11.8,2.3,81.46033732,Insect-borne,10
80,8.17,0,10.3,1.7,83.72874389,Airborne,13
81,8,0,12.7,3.1,80.37979919,Soil-borne,10
82,10.88,0,9.4,5.5,82.94682591,Airborne,11
83,8.46,0,14.5,6.1,81.05635517,Soil-borne,7
84,10.75,0,12.2,3.2,84.96907151,Soil-borne,12
85,13.75,0.3,11.8,8.4,80.54372813,Waterborne,10
86,6.75,0,11.7,-0.8,83.47038318,Waterborne,7
87,10.88,1.1,13.3,0.4,81.43321641,Soil-borne,11
88,16.62,1.8,14.7,7.5,81.40633547,Insect-borne,11
89,14.79,1.8,13.8,9.5,81.03569343,Waterborne,11
90,11.92,1.1,14.5,7.1,84.1341879,Seed-borne,12
91,11.67,2.5,13.7,8.8,81.91411159,Insect-borne,9
92,5.25,0,10.3,5.2,83.88387074,Soil-borne,9
93,5.5,2.6,6.6,3.4,80.12267476,Soil-borne,10
94,6,9.6,10.8,3.8,83.85642678,Soil-borne,10
95,9.25,4.2,14.3,4.7,82.81088865,Waterborne,10
96,5,0,11.8,8,83.46358271,Seed-borne,12
97,5.33,0,10.2,1.1,82.14004101,Seed-borne,9
98,8.71,8.1,12.1,3.8,83.3293191,Seed-borne,12
99,9.96,1.9,12,8.8,84.67353597,Soil-borne,10
100,5.21,1.9,14.4,9.4,83.59512273,Seed-borne,12
101,5.66,5.8,16.1,3.7,63.69070564,Insect-borne,9
102,6.54,7.8,13.7,10.4,71.57476937,Seed-borne,10
103,8,0.1,15,9,71.59351368,Insect-borne,12
104,4.29,0.5,14.6,7,57.68272924,Soil-borne,12
105,2.46,0,12.7,3.4,62.69503871,Seed-borne,12
106,2.88,0,12.2,2.3,57.80840636,Seed-borne,7
107,4.46,0,15.5,3.8,66.50415474,Insect-borne,11
108,5.66,0.2,10.7,6.7,66.6902901,Insect-borne,11
109,12.96,3.7,11.6,7.6,62.5542482,Seed-borne,10
110,12.25,1,12.4,7.5,66.78627406,Insect-borne,10
111,9.5,3.6,16.4,8.4,73.4541537,Soil-borne,12
112,7.46,11,12.6,9.3,68.3584573,Soil-borne,10
113,10.71,1.8,12.8,6.7,58.84015925,Airborne,12
114,5.25,2.8,13.8,2.4,65.76816093,Seed-borne,11
115,13.75,17.2,12.8,7.7,60.2001687,Waterborne,10
116,6,0,16.2,6.7,55.28220433,Seed-borne,11
117,6.25,0,16.8,7.2,70.4162444,Seed-borne,10
118,2.67,0,15.5,2.7,65.26185135,Seed-borne,12
119,4.04,4,15.7,7.1,60.1159381,Waterborne,12
120,5.09,1.6,16.5,9,62.89366992,Soil-borne,11
121,9.96,7.3,19.2,8.2,73.80435276,Soil-borne,14
122,10.46,3.4,13,7.7,71.09445342,Seed-borne,12
123,9.5,0.4,15.5,7.4,66.65952796,Airborne,9
124,5.96,2,16.7,10.5,58.75082029,Seed-borne,10
125,9.13,0.7,16.1,6.2,67.22190688,Seed-borne,11
126,16.83,0.8,15.5,9.2,68.49835977,Seed-borne,12
127,18.21,2.3,13.3,6.8,57.48775781,Waterborne,9
128,18.58,0,15,7.2,71.50905983,Seed-borne,15
129,7.25,0,16.7,5.4,63.10459626,Soil-borne,10
130,3.33,0,17.1,2.1,63.4711755,Soil-borne,11
131,3.67,0,19.7,2.2,63.1621551,Soil-borne,10
132,5.17,0,19.8,6.5,55.53128131,Insect-borne,12
133,5.21,0.2,22.1,5.1,67.99257471,Seed-borne,11
134,10.04,1.4,15.7,10.2,61.89472002,Waterborne,9
135,5.91,0,14.7,9,65.61418761,Seed-borne,11
136,8.38,0,13.1,8.8,74.089114,Airborne,13
137,5.83,0,13.4,3,62.35750641,Soil-borne,9
138,5.04,0,12.7,4.3,59.64024162,Waterborne,11
139,6.83,0,14.6,5,74.82913698,Soil-borne,11
140,4.71,0,14.7,9,74.52600826,Insect-borne,7
141,3.17,0,15.2,3.4,73.13112261,Insect-borne,12
142,2.42,0,14.4,6.2,70.04556743,Waterborne,10
143,3.13,0,14.5,9.4,60.27766379,Soil-borne,12
144,4,0.2,14.6,10.4,57.21025565,Waterborne,12
145,6.79,1.6,12.7,8.1,72.85462807,Soil-borne,13
146,9.33,0,10.6,4.6,69.00128641,Waterborne,7
147,4.92,0,12.5,3.2,68.74248334,Seed-borne,7
148,5.41,0,14,1,56.35606753,Waterborne,12
149,11.71,1.8,13.3,9.2,61.89082199,Waterborne,10
150,5.83,0,14.2,10,65.47050802,Seed-borne,12
151,6.58,0,17,7.8,65.34583901,Soil-borne,12
152,9.75,0,17,5,56.73426469,Seed-borne,7
153,7.92,0,17.8,10.5,63.91281869,Seed-borne,12
154,10.41,0,18.7,11.7,64.23580251,Soil-borne,12
155,6.21,0,20.8,11.3,61.74427165,Seed-borne,11
156,3.42,9.4,17,12.7,61.24500053,Insect-borne,9
157,4.21,0.3,16.7,11.5,61.91044947,Waterborne,10
158,8.17,4.8,17.7,8.8,56.50768935,Airborne,12
159,9.54,0.7,15.5,7.6,69.02298571,Seed-borne,7
160,8.29,1.8,17.2,6.1,65.35549924,Insect-borne,10
161,9.71,1.6,15.7,10.4,59.24537979,Seed-borne,11
162,6.25,3.6,16.6,9,69.0276233,Seed-borne,11
163,9.17,1,13.6,10.5,61.32026065,Insect-borne,8
164,4.67,0.2,18,6.2,72.89187265,Waterborne,10
165,5.66,1.2,18.8,6.4,69.63481219,Soil-borne,11
166,8.25,0.1,18.8,13.1,59.4375337,Soil-borne,9
167,10.54,0.2,19.6,7.7,68.034493,Waterborne,11
168,12.96,0.8,20,15,73.58868502,Seed-borne,12
169,13.7,0,17.6,9.5,59.52193158,Seed-borne,11
170,10.37,0,17.3,8.7,61.33450447,Waterborne,10
171,7.92,0,16.6,8.7,68.30578978,Seed-borne,11
172,10.54,1.6,19.4,7.2,60.47470519,Waterborne,12
173,13.29,0,18.5,11.6,59.21235483,Seed-borne,7
174,14.21,0,22.4,11.6,73.62548442,Seed-borne,10
175,14.88,0,23,11.5,55.64709899,Soil-borne,11
176,11.87,2.8,21.6,12.1,65.7420046,Seed-borne,11
177,8.38,0,15.2,11.6,65.77472881,Soil-borne,12
178,10.54,0,16.7,6.1,60.61494304,Soil-borne,7
179,8.79,0,19.5,8.1,72.33125523,Insect-borne,12
180,8.33,0,22.2,11.1,71.59722446,Soil-borne,7
181,4.92,0,23.4,11.6,69.36385721,Soil-borne,10
182,6.71,0,19.4,15.5,66.20569924,Insect-borne,13
183,5.83,0,20.1,12.1,61.55327249,Seed-borne,7
184,15.75,0.6,18.3,9.5,55.97732754,Seed-borne,10
185,14.92,0,18.2,10.6,59.24580604,Airborne,11
186,10.08,0,20,7.1,65.92195844,Waterborne,12
187,7.08,0.1,20.2,8,72.52054555,Seed-borne,12
188,14.54,0.2,21.2,13.6,63.31801994,Seed-borne,12
189,14.04,0,18.3,14.4,67.816568,Seed-borne,12
190,9.46,6.4,18.4,12.3,71.516474,Waterborne,11
191,2.67,6.6,17.3,12.2,63.73849998,Seed-borne,12
192,7.41,5.4,17.4,12.8,72.61024172,Soil-borne,12
193,9.08,0.4,19,13.3,71.96246617,Waterborne,12
194,16.83,21.4,13.8,9,61.37879671,Waterborne,12
195,11.83,0.1,17.4,8.3,59.37147589,Seed-borne,10
196,10.25,2.6,18.8,7.6,72.80086137,Waterborne,9
197,13.13,0.1,15.6,11,63.24648023,Soil-borne,10
198,7.08,0,19.7,10.5,62.49878458,Waterborne,9
199,4.96,0,19.3,10.5,59.66263104,Seed-borne,11
200,3.5,0,18.7,7.6,70.74739256,Seed-borne,12
201,3.04,0,18.3,12.1,16.98861173,Insect-borne,12
202,2.21,0,16,11.7,17.13159126,Waterborne,10
203,4.75,0,17.1,8.1,15.40589717,Soil-borne,7
204,2.21,0,17.3,10,15.65809214,Waterborne,11
205,3.58,0,18.3,11.1,19.56381041,Seed-borne,9
206,12.29,1.6,20.6,11.6,15.40312102,Seed-borne,7
207,18.79,0,17.5,12.7,16.60820843,Waterborne,10
208,7.87,2.6,16.7,10.2,18.74926979,Seed-borne,10
209,9.67,0,17.8,7.7,18.90426935,Insect-borne,12
210,5.79,0,18.2,11.2,18.30968112,Insect-borne,11
211,6.04,0,21.4,8.2,19.33470387,Seed-borne,12
212,3.75,0,17.7,11.7,15.22538951,Soil-borne,12
213,4.21,0.7,17.1,7.3,14.69765308,Insect-borne,11
214,8.87,0.9,17.8,10.4,19.5161216,Soil-borne,9
215,11.92,5.1,19.3,9.1,14.71070537,Waterborne,12
216,13.54,0,20.6,13.4,19.18197264,Waterborne,12
217,10.54,0,19.5,7.6,19.8601304,Soil-borne,10
218,7.87,0.1,18.3,13.1,16.39535215,Waterborne,10
219,3.88,15,14.4,6.1,15.7559405,Insect-borne,10
220,10.63,1.1,19,10,14.32313811,Seed-borne,12
221,11.25,1.9,18.3,10.4,16.14565756,Soil-borne,12
222,4.67,1.2,16.6,9,15.11279612,Airborne,11
223,6.83,0.2,16.6,8.8,14.99927489,Soil-borne,11
224,6.83,0.8,19.1,5.6,18.43475844,Seed-borne,12
225,10.92,0.1,18.4,11.2,19.22008229,Seed-borne,8
226,15.09,0.4,18.8,11.6,14.42457525,Waterborne,10
227,9.42,0.3,18.3,12.2,16.67921616,Waterborne,10
228,12.96,0,19,11.1,18.66725565,Seed-borne,11
229,10.21,0.4,21.7,11.2,17.0662427,Seed-borne,9
230,19.04,0.8,17,12.5,17.93253975,Soil-borne,11
231,13.21,0.3,15.6,12,14.25803981,Seed-borne,12
232,12.58,9.5,21,11.3,15.82069268,Soil-borne,10
233,19,0.2,17.3,13,19.44225438,Seed-borne,10
234,12.08,0,17.2,10.5,19.09172907,Seed-borne,12
235,8.17,5,21.6,11.6,16.1074793,Seed-borne,11
236,5.66,0,18,6.4,16.54314829,Waterborne,11
237,10.92,1.8,19.4,12.8,17.58406365,Soil-borne,12
238,9.79,1.1,18.2,8.6,16.17772668,Seed-borne,12
239,12.12,0,21.7,12.1,19.68538502,Seed-borne,8
240,9.08,0,24.6,12.6,15.21618225,Soil-borne,10
241,14.12,0,22.7,17.8,17.80852431,Seed-borne,11
242,4.58,0,20,9.4,16.89574311,Seed-borne,11
243,2.92,0.1,21.1,5,16.63805158,Seed-borne,9
244,4.63,0.1,21,11.1,17.30457712,Seed-borne,10
245,3.83,0.1,20.5,12.3,15.77458129,Seed-borne,11
246,5.88,0,16.1,13.7,14.27327988,Insect-borne,7
247,1.25,0,18.3,14.4,18.23490739,Waterborne,12
248,9.38,0.2,15.6,10.6,14.92241479,Seed-borne,9
249,14.09,3.4,16.6,9.6,17.26184541,Soil-borne,11
250,7.87,0,15.8,6.7,16.96070581,Waterborne,10
251,3.17,0,17.7,6.6,18.98030507,Waterborne,13
252,6.92,7.9,20.2,5.6,19.63719995,Airborne,10
253,4.83,0,21.4,13.4,15.15405941,Seed-borne,10
254,8.63,2.8,18.2,10.5,15.48083156,Waterborne,12
255,11.08,0.5,19.5,10,14.70085967,Insect-borne,11
256,11.75,0.8,19.1,12.6,16.71826572,Waterborne,11
257,12.75,1,19.5,10.4,18.91295403,Soil-borne,12
258,13,0.5,19.4,13.1,17.63879418,Seed-borne,10
259,20.79,0,19.5,12.7,17.86754927,Airborne,11
260,7.87,0,20,10.5,16.02542689,Soil-borne,7
261,4.17,0.1,18.4,5.1,17.41333199,Soil-borne,12
262,8.17,9,21.6,11.6,14.99451145,Waterborne,12
263,4.79,9.8,17.6,11.1,14.72115044,Insect-borne,12
264,6.46,0,18.3,13.2,17.17260319,Waterborne,12
265,4.12,0.4,20.7,4.2,18.74943955,Insect-borne,9
266,6.08,2.8,20.3,13.3,18.71483156,Waterborne,10
267,5.91,0,16.7,5.7,19.85388984,Soil-borne,11
268,8.92,0,15.5,4.6,16.63294455,Seed-borne,10
269,12.46,1.2,16.6,12.2,14.44228303,Waterborne,10
270,8.08,32,14.5,8.1,15.84572566,Seed-borne,10
271,9.13,6.1,14.4,10.5,14.2804191,Soil-borne,12
272,9.21,1.2,16.8,8,15.85622899,Seed-borne,12
273,10.96,0,14.8,8.5,15.83500655,Seed-borne,12
274,5.83,0.5,16,10.3,19.96978871,Waterborne,12
275,8.71,3.4,17.7,10.4,18.25142068,Insect-borne,7
276,4.04,7.3,15.5,13.8,17.54024066,Seed-borne,10
