id,avg wind_speed,Precipitation_Amount_(rain),Max_temperature,Min_temperature,humidity,Transmission_mode,Duration
1,13.67,0.2,9.5,3.7,82.00274423,Soil-borne,8
2,11.5,5.1,7.2,4.2,80.31964408,Soil-borne,9
3,11.25,0.4,5.5,0.5,82.3207629,Soil-borne,8
4,8.63,0.2,5.6,0.4,80.15836264,Soil-borne,8
5,11.92,10.4,7.2,-1.5,81.60487287,Soil-borne,8
6,10.67,0,6.5,1.2,83.37011772,Soil-borne,8
7,9.17,1.9,9.2,-2.4,82.63941394,Soil-borne,8
8,14.29,0,6.6,3.1,82.89408619,Soil-borne,8
9,8.04,8.3,6.8,2.4,83.5352163,Soil-borne,8
10,11.42,0,6.5,3,83.03322691,Soil-borne,8
11,7.54,0.5,10,-3.1,81.41753846,Soil-borne,8
12,15.54,6,12.2,-3.3,81.45061596,Soil-borne,8
13,4.63,0,13.1,5.5,80.88684822,Soil-borne,8
14,3.08,0,5.6,-3.2,82.05687182,Soil-borne,8
15,2.5,0,4.4,-5,80.66385045,Soil-borne,8
16,9.25,0,4.6,-4.2,80.30025587,Soil-borne,8
17,13.42,2,9.3,3.2,82.7883708,Soil-borne,8
18,17.83,8.4,10.1,4.3,80.41817957,Soil-borne,8
19,3.71,0.9,6.6,1.6,80.1923008,Soil-borne,8
20,3.17,21.5,9.3,-0.6,83.58760316,Soil-borne,8
21,8.04,0.2,10.1,1.6,80.47476396,Soil-borne,8
22,9.38,0.3,6.5,5.5,83.11713476,Soil-borne,10
23,13.7,0,6.5,5.5,80.97384195,Soil-borne,10
24,20.38,9.5,5.3,3.4,82.67839517,Soil-borne,10
25,9.25,0,4.3,2.2,81.33265073,Soil-borne,10
26,14.33,0.7,13,2.2,80.52389148,Soil-borne,10
27,16.79,1.5,12.3,3.7,84.04403589,Soil-borne,10
28,12.25,2.8,12,4.8,80.54498576,Soil-borne,10
29,22,6.2,12.6,4.4,84.49774397,Soil-borne,10
30,14.5,1.4,7.8,3.7,80.64416466,Soil-borne,10
31,14.88,4.7,7.2,2.1,84.94375962,Soil-borne,10
32,10.17,2.1,8.7,1,80.33127223,Soil-borne,10
33,10.88,0.1,8.1,1,82.73685569,Soil-borne,10
34,8.5,4,8.1,-0.6,81.63895217,Soil-borne,10
35,12.54,5.7,11.3,0,83.88266234,Soil-borne,10
36,13.96,8.6,13.5,4.7,82.1480873,Soil-borne,10
37,19.17,0.5,7.8,2.1,81.17734011,Soil-borne,10
38,14.21,0.3,11.6,3.2,83.15250801,Soil-borne,14
39,16.5,4.4,14.6,4.4,82.95221726,Soil-borne,14
40,14.37,0.3,11.7,6.4,83.7287574,Soil-borne,14
41,11.08,0.8,10.7,7.3,82.06719137,Soil-borne,14
42,17.5,3.5,11.3,7.3,83.52842314,Soil-borne,14
43,11.71,0,15.5,7.1,80.14509262,Soil-borne,14
44,16.08,0,12.7,8.8,84.81360127,Soil-borne,14
45,15.46,0,13.3,10,82.36698992,Soil-borne,14
46,5.17,0,13.8,2.5,80.52586088,Soil-borne,14
47,3.42,0,12.1,2.5,84.47963372,Soil-borne,14
48,6.17,0,11.7,4.4,84.59201843,Soil-borne,14
49,10.88,0,13.3,6,80.70960551,Soil-borne,14
50,9.62,0,14.5,8.2,80.41363018,Soil-borne,14
51,7.25,0,13.1,5.3,83.06310136,Soil-borne,14
52,3.75,0,8.6,4.7,80.3477562,Soil-borne,14
53,8.25,0,7.5,5.1,82.22572988,Airborne,14
54,16.38,4.6,8.8,5.1,81.89918197,Airborne,14
55,8.17,0.7,11,6.1,83.83625819,Airborne,14
56,13.08,3.2,9.8,2.7,84.79352417,Airborne,14
57,21.17,2.1,14.5,5.2,83.47021081,Airborne,14
58,12.75,3.1,10.1,4.8,82.45432595,Airborne,14
59,14.75,1,10.6,3.8,82.1235421,Airborne,12
60,10.25,0.7,12.7,8.1,80.2389895,Airborne,12
61,10.88,0,12.2,7.2,82.20802629,Airborne,13
62,11.29,0,12.2,3,83.51827127,Airborne,7
63,6.21,0,11.8,2.8,83.77345559,Airborne,8
64,5.5,0,17.2,0,80.72886384,Airborne,8
65,2.83,0,14.4,4.3,83.29114712,Airborne,8
66,3.63,0,14.7,6,82.74835604,Airborne,8
67,1.71,0,15.1,4.4,80.33502926,Airborne,8
68,3.75,0,14.2,6.1,82.11124033,Airborne,8
69,8.79,0,11.8,6.7,80.28597873,Airborne,8
70,10.34,0,14.6,5.7,80.56887849,Airborne,8
71,17.12,0.1,13.4,4.8,83.891805,Airborne,8
72,13.96,0,15.5,10.5,82.1706881,Airborne,8
73,8.12,0,15.5,9.5,82.84022551,Airborne,8
74,11.54,0,16.2,7.1,83.00320459,Airborne,8
75,2.75,0,18.8,2.2,84.56919326,Airborne,11
76,13,0,9.7,2.1,81.85872947,Airborne,11
77,13.17,0.5,10.2,2.8,81.78596776,Airborne,11
78,7.75,0,9.6,3.3,81.97927117,Airborne,11
79,15.41,0,11.8,2.3,81.46033732,Airborne,11
80,8.17,0,10.3,1.7,83.72874389,Airborne,11
81,8,0,12.7,3.1,80.37979919,Airborne,11
82,10.88,0,9.4,5.5,82.94682591,Airborne,11
83,8.46,0,14.5,6.1,81.05635517,Airborne,11
84,10.75,0,12.2,3.2,84.96907151,Airborne,11
85,13.75,0.3,11.8,8.4,80.54372813,Airborne,11
86,6.75,0,11.7,-0.8,83.47038318,Airborne,11
87,10.88,1.1,13.3,0.4,81.43321641,Airborne,11
88,16.62,1.8,14.7,7.5,81.40633547,Airborne,11
89,14.79,1.8,13.8,9.5,81.03569343,Airborne,11
90,11.92,1.1,14.5,7.1,84.1341879,Airborne,11
91,11.67,2.5,13.7,8.8,81.91411159,Airborne,11
92,5.25,0,10.3,5.2,83.88387074,Airborne,11
93,5.5,2.6,6.6,3.4,80.12267476,Airborne,11
94,6,9.6,10.8,3.8,83.85642678,Airborne,11
95,9.25,4.2,14.3,4.7,82.81088865,Airborne,11
96,5,0,11.8,8,83.46358271,Airborne,11
97,5.33,0,10.2,1.1,82.14004101,Airborne,11
98,8.71,8.1,12.1,3.8,83.3293191,Airborne,11
99,9.96,1.9,12,8.8,84.67353597,Airborne,14
100,5.21,1.9,14.4,9.4,83.59512273,Airborne,15
101,5.66,5.8,16.1,3.7,63.69070564,Airborne,15
102,6.54,7.8,13.7,10.4,71.57476937,Airborne,15
103,8,0.1,15,9,71.59351368,Airborne,15
104,4.29,0.5,14.6,7,57.68272924,Airborne,15
105,2.46,0,12.7,3.4,62.69503871,Airborne,15
106,2.88,0,12.2,2.3,57.80840636,Airborne,15
107,4.46,0,15.5,3.8,66.50415474,Airborne,15
108,5.66,0.2,10.7,6.7,66.6902901,Airborne,15
109,12.96,3.7,11.6,7.6,62.5542482,Airborne,15
110,12.25,1,12.4,7.5,66.78627406,Airborne,15
111,9.5,3.6,16.4,8.4,73.4541537,Airborne,15
112,7.46,11,12.6,9.3,68.3584573,Airborne,15
113,10.71,1.8,12.8,6.7,58.84015925,Airborne,15
114,5.25,2.8,13.8,2.4,65.76816093,Airborne,15
115,13.75,17.2,12.8,7.7,60.2001687,Airborne,15
116,6,0,16.2,6.7,55.28220433,Airborne,9
117,6.25,0,16.8,7.2,70.4162444,Airborne,9
118,2.67,0,15.5,2.7,65.26185135,Airborne,9
119,4.04,4,15.7,7.1,60.1159381,Airborne,9
120,5.09,1.6,16.5,9,62.89366992,Airborne,9
121,9.96,7.3,19.2,8.2,73.80435276,Airborne,9
122,10.46,3.4,13,7.7,71.09445342,Airborne,9
123,9.5,0.4,15.5,7.4,66.65952796,Airborne,9
124,5.96,2,16.7,10.5,58.75082029,Airborne,9
125,9.13,0.7,16.1,6.2,67.22190688,Airborne,9
126,16.83,0.8,15.5,9.2,68.49835977,Airborne,9
127,18.21,2.3,13.3,6.8,57.48775781,Airborne,9
128,18.58,0,15,7.2,71.50905983,Airborne,9
129,7.25,0,16.7,5.4,63.10459626,Airborne,9
130,3.33,0,17.1,2.1,63.4711755,Airborne,9
131,3.67,0,19.7,2.2,63.1621551,Airborne,9
132,5.17,0,19.8,6.5,55.53128131,Airborne,9
133,5.21,0.2,22.1,5.1,67.99257471,Airborne,9
134,10.04,1.4,15.7,10.2,61.89472002,Airborne,9
135,5.91,0,14.7,9,65.61418761,Airborne,9
136,8.38,0,13.1,8.8,74.089114,Airborne,9
137,5.83,0,13.4,3,62.35750641,Airborne,9
138,5.04,0,12.7,4.3,59.64024162,Airborne,9
139,6.83,0,14.6,5,74.82913698,Airborne,9
140,4.71,0,14.7,9,74.52600826,Airborne,9
141,3.17,0,15.2,3.4,73.13112261,Airborne,9
142,2.42,0,14.4,6.2,70.04556743,Airborne,9
143,3.13,0,14.5,9.4,60.27766379,Airborne,9
144,4,0.2,14.6,10.4,57.21025565,Airborne,9
145,6.79,1.6,12.7,8.1,72.85462807,Airborne,9
146,9.33,0,10.6,4.6,69.00128641,Soil-borne,9
147,4.92,0,12.5,3.2,68.74248334,Soil-borne,9
148,5.41,0,14,1,56.35606753,Soil-borne,9
149,11.71,1.8,13.3,9.2,61.89082199,Soil-borne,9
150,5.83,0,14.2,10,65.47050802,Soil-borne,9
151,6.58,0,17,7.8,65.34583901,Soil-borne,9
152,9.75,0,17,5,56.73426469,Soil-borne,9
153,7.92,0,17.8,10.5,63.91281869,Soil-borne,9
154,10.41,0,18.7,11.7,64.23580251,Soil-borne,9
155,6.21,0,20.8,11.3,61.74427165,Soil-borne,9
156,3.42,9.4,17,12.7,61.24500053,Soil-borne,9
157,4.21,0.3,16.7,11.5,61.91044947,Soil-borne,9
158,8.17,4.8,17.7,8.8,56.50768935,Soil-borne,9
159,9.54,0.7,15.5,7.6,69.02298571,Soil-borne,9
160,8.29,1.8,17.2,6.1,65.35549924,Soil-borne,9
161,9.71,1.6,15.7,10.4,59.24537979,Insect-borne,9
162,6.25,3.6,16.6,9,69.0276233,Insect-borne,9
163,9.17,1,13.6,10.5,61.32026065,Insect-borne,9
164,4.67,0.2,18,6.2,72.89187265,Insect-borne,9
165,5.66,1.2,18.8,6.4,69.63481219,Insect-borne,9
166,8.25,0.1,18.8,13.1,59.4375337,Insect-borne,9
167,10.54,0.2,19.6,7.7,68.034493,Insect-borne,9
168,12.96,0.8,20,15,73.58868502,Insect-borne,9
169,13.7,0,17.6,9.5,59.52193158,Insect-borne,9
170,10.37,0,17.3,8.7,61.33450447,Insect-borne,9
171,7.92,0,16.6,8.7,68.30578978,Insect-borne,9
172,10.54,1.6,19.4,7.2,60.47470519,Insect-borne,9
173,13.29,0,18.5,11.6,59.21235483,Insect-borne,9
174,14.21,0,22.4,11.6,73.62548442,Insect-borne,9
175,14.88,0,23,11.5,55.64709899,Insect-borne,9
176,11.87,2.8,21.6,12.1,65.7420046,Insect-borne,9
177,8.38,0,15.2,11.6,65.77472881,Insect-borne,9
178,10.54,0,16.7,6.1,60.61494304,Insect-borne,9
179,8.79,0,19.5,8.1,72.33125523,Insect-borne,9
180,8.33,0,22.2,11.1,71.59722446,Insect-borne,9
181,4.92,0,23.4,11.6,69.36385721,Insect-borne,9
182,6.71,0,19.4,15.5,66.20569924,Insect-borne,9
183,5.83,0,20.1,12.1,61.55327249,Insect-borne,9
184,15.75,0.6,18.3,9.5,55.97732754,Insect-borne,9
185,14.92,0,18.2,10.6,59.24580604,Insect-borne,9
186,10.08,0,20,7.1,65.92195844,Insect-borne,9
187,7.08,0.1,20.2,8,72.52054555,Insect-borne,9
188,14.54,0.2,21.2,13.6,63.31801994,Insect-borne,9
189,14.04,0,18.3,14.4,67.816568,Insect-borne,9
190,9.46,6.4,18.4,12.3,71.516474,Insect-borne,9
191,2.67,6.6,17.3,12.2,63.73849998,Insect-borne,9
192,7.41,5.4,17.4,12.8,72.61024172,Insect-borne,9
193,9.08,0.4,19,13.3,71.96246617,Insect-borne,9
194,16.83,21.4,13.8,9,61.37879671,Insect-borne,9
195,11.83,0.1,17.4,8.3,59.37147589,Insect-borne,9
196,10.25,2.6,18.8,7.6,72.80086137,Insect-borne,9
197,13.13,0.1,15.6,11,63.24648023,Insect-borne,9
198,7.08,0,19.7,10.5,62.49878458,Insect-borne,9
199,4.96,0,19.3,10.5,59.66263104,Insect-borne,9
200,3.5,0,18.7,7.6,70.74739256,Insect-borne,9
201,3.04,0,18.3,12.1,16.98861173,Insect-borne,9
202,2.21,0,16,11.7,17.13159126,Insect-borne,9
203,4.75,0,17.1,8.1,15.40589717,Insect-borne,9
204,2.21,0,17.3,10,15.65809214,Insect-borne,9
205,3.58,0,18.3,11.1,19.56381041,Insect-borne,9
206,12.29,1.6,20.6,11.6,15.40312102,Insect-borne,9
207,18.79,0,17.5,12.7,16.60820843,Insect-borne,9
208,7.87,2.6,16.7,10.2,18.74926979,Insect-borne,9
209,9.67,0,17.8,7.7,18.90426935,Insect-borne,9
210,5.79,0,18.2,11.2,18.30968112,Insect-borne,9
211,6.04,0,21.4,8.2,19.33470387,Insect-borne,9
212,3.75,0,17.7,11.7,15.22538951,Insect-borne,9
213,4.21,0.7,17.1,7.3,14.69765308,Insect-borne,9
214,8.87,0.9,17.8,10.4,19.5161216,Insect-borne,9
215,11.92,5.1,19.3,9.1,14.71070537,Insect-borne,9
